T01n0001    長阿含經【後秦 佛陀耶舍共竺佛念譯】
T01n0053    1  苦陰經【失譯】
T01n0054    1  釋摩男本四子經【吳 支謙譯】
T01n0055    1  苦陰因事經【西晉 法炬譯】
T01n0056    1  樂想經【西晉 竺法護譯】
T01n0057    1  漏分布經【後漢 安世高譯】
T01n0058    1  阿耨風經【東晉 竺曇無蘭譯】
T01n0059    1  諸法本經【吳 支謙譯】
T01n0060    1  瞿曇彌記果經【劉宋 慧簡譯】
T01n0061    1  受新歲經【西晉 竺法護譯】
T01n0062    1  新歲經【東晉 竺曇無蘭譯】
T01n0063    1  解夏經【宋 法賢譯】
T01n0064    1  瞻婆比丘經【西晉 法炬譯】
T01n0065    1  伏婬經【西晉 法炬譯】
T01n0066    1  魔嬈亂經【失譯】
T01n0067    1  弊魔試目連經【吳 支謙譯】
T01n0068    1  賴吒和羅經【吳 支謙譯】
T01n0069    1  護國經【宋 法賢譯】
T01n0070    1  數經【西晉 法炬譯】
T01n0071    1  梵志頞波羅延問種尊經【東晉 竺曇無蘭譯】
T01n0072    1  三歸五戒慈心厭離功德經【失譯】
T01n0073    1  須達經【蕭齊 求那毘地譯】
T01n0074    1  長者施報經【宋 法天譯】
T01n0075    1  佛為黃竹園老婆羅門說學經【失譯】
T01n0076    1  梵摩渝經【吳 支謙譯】
T01n0077    1  尊上經【西晉 竺法護譯】
T01n0078    1  兜調經【失譯】
T01n0079    1  鸚鵡經【劉宋 求那跋陀羅譯】
T01n0080    1  佛為首迦長者說業報差別經【隋 瞿曇法智譯】
T01n0081    2  分別善惡報應經【宋 天息災譯】
T01n0082    1  意經【西晉 竺法護譯】
T01n0083    1  應法經【西晉 竺法護譯】
T01n0084    1  分別布施經【宋 施護譯】
T01n0085    1  息諍因緣經【宋 施護譯】
T01n0086    1  泥犁經【東晉 竺曇無蘭譯】
T01n0087    1  齋經【吳 支謙譯】
T01n0088    1  優陂夷墮舍迦經【失譯】
T01n0089    1  八關齋經【劉宋 沮渠京聲譯】
T01n0090    1  鞞摩肅經【劉宋 求那跋陀羅譯】
T01n0091    1  婆羅門子命終愛念不離經【後漢 安世高譯】
T01n0092    1  十支居士八城人經【後漢 安世高譯】
T01n0093    1  邪見經【失譯】
T01n0094    1  箭喻經【失譯】
T01n0095    1  蟻喻經【宋 施護譯】
T01n0096    1  治意經【失譯】
T01n0097    1  廣義法門經【陳 真諦譯】
T01n0098    1  普法義經【後漢 安世高譯】
T02n0099   50  雜阿含經(1362經)【劉宋 求那跋陀羅譯】
T02n0100   16  別譯雜阿含經(364經)【失譯】
T02n0101    1  雜阿含經(27經)【失譯】
T02n0102    1  佛說五蘊皆空經【唐 義淨譯】
T02n0103    1  佛說聖法印經【西晉 竺法護譯】
T02n0104    1  佛說法印經【宋 施護譯】
T02n0105    1  五陰譬喻經【後漢 安世高譯】
T02n0106    1  佛說水沫所漂經【東晉 竺曇無蘭譯】
T02n0107    1  佛說不自守意經【吳 支謙譯】
T02n0108    1  佛說滿願子經【失譯】
T02n0109    1  佛說轉法輪經【後漢 安世高譯】
T02n0110    1  佛說三轉法輪經【唐 義淨譯】
T02n0111    1  佛說相應相可經【西晉 法炬譯】
T02n0112    1  佛說八正道經【後漢 安世高譯】
T02n0113    1  佛說難提釋經【西晉 法炬譯】
T02n0114    1  佛說馬有三相經【後漢 支曜譯】
T02n0115    1  佛說馬有八態譬人經【後漢 支曜譯】
T02n0116    1  佛說戒德香經【東晉 竺曇無蘭譯】
T02n0117    1  佛說戒香經【宋 法賢譯】
T02n0118    1  佛說鴦掘摩經【西晉 竺法護譯】
T02n0119    1  佛說鴦崛髻經【西晉 法炬譯】
T02n0120    4  央掘魔羅經【劉宋 求那跋陀羅譯】
T02n0121    1  佛說月喻經【宋 施護譯】
T02n0122    1  佛說波斯匿王太后崩塵土坌身經【西晉 法炬譯】
T02n0123    1  佛說放牛經【後秦 鳩摩羅什譯】
T02n0124    1  緣起經【唐 玄奘譯】
T02n0125   51  增壹阿含經【東晉 瞿曇僧伽提婆譯】
T02n0126    1  佛說阿羅漢具德經【宋 法賢譯】
T02n0127    1  佛說四人出現世間經【劉宋 求那跋陀羅譯】
T02n0128a   1  須摩提女經【吳 支謙譯】
T02n0128b   1  須摩提女經【吳 支謙譯】
T02n0129    1  佛說三摩竭經【吳 竺律炎譯】
T02n0130    3  佛說給孤長者女得度因緣經【宋 施護譯】
T02n0131    1  佛說婆羅門避死經【後漢 安世高譯】
T02n0132a   1  佛說食施獲五福報經【失譯】
T02n0132b   1  施食獲五福報經【失譯】
T02n0133    1  頻毘娑羅王詣佛供養經【西晉 法炬譯】
T02n0134    1  佛說長者子六過出家經【劉宋 慧簡譯】
T02n0135    1  佛說力士移山經【西晉 竺法護譯】
T02n0136    1  佛說四未曾有法經【西晉 竺法護譯】
T02n0137    1  舍利弗摩訶目連遊四衢經【後漢 康孟詳譯】
T02n0138    1  佛說十一想思念如來經【劉宋 求那跋陀羅譯】
T02n0139    1  佛說四泥犁經【東晉 竺曇無蘭譯】
T02n0140    1  阿那邠邸化七子經【後漢 安世高譯】
T02n0141    1  佛說阿遬達經【劉宋 求那跋陀羅譯】
T02n0142a   1  佛說玉耶女經【失譯】
T02n0142b   1  玉耶女經【失譯】
T02n0143    1  玉耶經【東晉 竺曇無蘭譯】
T02n0144    1  佛說大愛道般泥洹經【西晉 白法祖譯】
T02n0145    1  佛母般泥洹經【劉宋 慧簡譯】
T02n0146    1  舍衛國王夢見十事經【失譯】
T02n0147    1  佛說舍衛國王十夢經【失譯】
T02n0148    1  國王不梨先泥十夢經【東晉 竺曇無蘭譯】
T02n0149    1  佛說阿難同學經【後漢 安世高譯】
T02n0150A   1  七處三觀經(47經)【後漢 安世高譯】
T02n0150B   1  九橫經【後漢 安世高譯】
T02n0151    1  佛說阿含正行經【後漢 安世高譯】
T03n0152    8  六度集經【吳 康僧會譯】
T03n0153    3  菩薩本緣經【吳 支謙譯】
T03n0154    5  生經【西晉 竺法護譯】
T03n0155    3  菩薩本行經【失譯】
T03n0156    7  大方便佛報恩經【失譯】
T03n0157   10  悲華經【北涼 曇無讖譯】
T03n0158    8  大乘悲分陀利經【失譯】
T03n0159    8  大乘本生心地觀經【唐 般若譯】
T03n0160   16  菩薩本生鬘論【宋 紹德慧詢等譯】
T03n0161    1  長壽王經【失譯】
T03n0162    1  金色王經【東魏 瞿曇般若流支譯】
T03n0163    1  妙色王因緣經【唐 義淨譯】
T03n0164    1  師子素馱娑王斷肉經【唐 智嚴譯】
T03n0165    6  頂生王因緣經【宋 施護等譯】
T03n0166    1  月光菩薩經【宋 法賢譯】
T03n0167    1  太子慕魄經【後漢 安世高譯】
T03n0168    1  太子墓魄經【西晉 竺法護譯】
T03n0169    1  月明菩薩經【吳 支謙譯】
T03n0170    1  德光太子經【西晉 竺法護譯】
T03n0171    1  太子須大拏經【西秦 聖堅譯】
T03n0172    1  菩薩投身飴餓虎起塔因緣經【北涼 法盛譯】
T03n0173    4  福力太子因緣經【宋 施護等譯】
T03n0174    1  菩薩睒子經【失譯】
T03n0175a   1  睒子經【西秦 聖堅譯】
T03n0175b   1  佛說睒子經【乞伏秦 聖堅譯】
T03n0175c   1  佛說睒子經【姚秦 聖堅譯】
T03n0176    1  師子月佛本生經【失譯】
T03n0177    1  大意經【劉宋 求那跋陀羅譯】
T03n0178    1  前世三轉經【西晉 法炬譯】
T03n0179    1  銀色女經【元魏 佛陀扇多譯】
T03n0180    1  過去世佛分衛經【西晉 竺法護譯】
T03n0181a   1  九色鹿經【吳 支謙譯】
T03n0181b   1  佛說九色鹿經【吳 支謙譯】
T03n0182a   1  鹿母經【西晉 竺法護譯】
T03n0182b   1  佛說鹿母經【西晉 竺法護譯】
T03n0183    1  一切智光明仙人慈心因緣不食肉經【失譯】
T03n0184    2  修行本起經【後漢 竺大力共康孟詳譯】
T03n0185    2  太子瑞應本起經【吳 支謙譯】
T03n0186    8  普曜經【西晉 竺法護譯】
T03n0187   12  方廣大莊嚴經【唐 地婆訶羅譯】
T03n0188    1  異出菩薩本起經【西晉 聶道真譯】
T03n0189    4  過去現在因果經【劉宋 求那跋陀羅譯】
T03n0190   60  佛本行集經【隋 闍那崛多譯】
T03n0191   13  眾許摩訶帝經【宋 法賢譯】
T04n0192    5  佛所行讚【馬鳴菩薩造  北涼 曇無讖譯】
T04n0193    7  佛本行經【宋 釋寶雲譯】
T04n0194    3  僧伽羅剎所集經【符秦 僧伽跋澄等譯】
T04n0195    1  佛說十二遊經【東晉 迦留陀伽譯】
T04n0196    2  中本起經【後漢 曇果共康孟詳譯】
T04n0197    2  佛說興起行經【後漢 康孟詳譯】
T04n0198    2  佛說義足經【吳 支謙譯】
T04n0199    1  佛五百弟子自說本起經【西晉 竺法護譯】
T04n0200   10  撰集百緣經【吳 支謙譯】
T04n0201   15  大莊嚴論經【馬鳴菩薩造  後秦 鳩摩羅什譯】
T04n0202   13  賢愚經【元魏 慧覺等譯】
T04n0203   10  雜寶藏經【元魏 吉迦夜共曇曜譯】
T04n0204    1  雜譬喻經【後漢 支婁迦讖譯】
T04n0205    2  雜譬喻經【失譯】
T04n0206    2  舊雜譬喻經【吳 康僧會譯】
T04n0207    1  雜譬喻經【道略集】
T04n0208    2  眾經撰雜譬喻【道略集  姚秦 鳩摩羅什譯】
T04n0209    4  百喻經【僧伽斯那撰  蕭齊 求那毘地譯】
T04n0210    2  法句經【法救撰  吳 維祇難等譯】
T04n0211    4  法句譬喻經【晉世 法炬共法立譯】
T04n0212   30  出曜經【姚秦 竺佛念譯】
T04n0213    4  法集要頌經【法救集  宋 天息災譯】
T04n0214    1  猘狗經【吳 支謙譯】
T04n0215    1  群牛譬經【西晉 法炬譯】
T04n0216    1  大魚事經【東晉 竺曇無蘭譯】
T04n0217    1  譬喻經【唐 義淨譯】
T04n0218    1  灌頂王喻經【宋 施護等譯】
T04n0219    1  醫喻經【宋 施護譯】
T05n0220  200  大般若波羅蜜多經(第1卷-第200卷)【唐 玄奘譯】
T06n0220  200  大般若波羅蜜多經(第201卷-第400卷)【唐 玄奘譯】
T07n0220  200  大般若波羅蜜多經(第401卷-第600卷)【唐 玄奘譯】
T08n0221   20  放光般若經【西晉 無羅叉譯】
T08n0222   10  光讚經【西晉 竺法護譯】
T08n0223   27  摩訶般若波羅蜜經【後秦 鳩摩羅什譯】
T08n0224   10  道行般若經【後漢 支婁迦讖譯】
T08n0225    6  大明度經【吳 支謙譯】
T08n0226    5  摩訶般若鈔經【前秦 曇摩蜱共竺佛念譯】
T08n0227   10  小品般若波羅蜜經【後秦 鳩摩羅什譯】
T08n0228   25  佛說佛母出生三法藏般若波羅蜜多經【宋 施護譯】
T08n0229    3  佛說佛母寶德藏般若波羅蜜經【宋 法賢譯】
T08n0230    1  聖八千頌般若波羅蜜多一百八名真實圓義陀羅尼經【宋 施護等譯】
T08n0231    7  勝天王般若波羅蜜經【陳 月婆首那譯】
T08n0232    2  文殊師利所說摩訶般若波羅蜜經【梁 曼陀羅仙譯】
T08n0233    1  文殊師利所說般若波羅蜜經【梁 僧伽婆羅譯】
T08n0234    2  佛說濡首菩薩無上清淨分衛經【宋 翔公譯】
T08n0235    1  金剛般若波羅蜜經【後秦 鳩摩羅什譯】
T08n0236a   1  金剛般若波羅蜜經【元魏 菩提流支譯】
T08n0236b   1  金剛般若波羅蜜經【元魏 菩提流支譯】
T08n0237    1  金剛般若波羅蜜經【陳 真諦譯】
T08n0238    1  金剛能斷般若波羅蜜經【隋 笈多譯】
T08n0239    1  佛說能斷金剛般若波羅蜜多經【唐 義淨譯】
T08n0240    1  實相般若波羅蜜經【唐 菩提流志譯】
T08n0241    1  金剛頂瑜伽理趣般若經【唐 金剛智譯】
T08n0242    1  佛說遍照般若波羅蜜經【宋 施護譯】
T08n0243    1  大樂金剛不空真實三麼耶經【唐 不空譯】
T08n0244    7  佛說最上根本大樂金剛不空三昧大教王經【宋 法賢譯】
T08n0245    2  佛說仁王般若波羅蜜經【後秦 鳩摩羅什譯】
T08n0246    2  仁王護國般若波羅蜜多經【唐 不空譯】
T08n0247    1  佛說了義般若波羅蜜多經【宋 施護譯】
T08n0248    1  佛說五十頌聖般若波羅蜜經【宋 施護譯】
T08n0249    1  佛說帝釋般若波羅蜜多心經【宋 施護譯】
T08n0250    1  摩訶般若波羅蜜大明呪經【姚秦 鳩摩羅什譯】
T08n0251    1  般若波羅蜜多心經【唐 玄奘譯】
T08n0252    1  普遍智藏般若波羅蜜多心經【唐 法月重譯】
T08n0253    1  般若波羅蜜多心經【唐 般若共利言等譯】
T08n0254    1  般若波羅蜜多心經【唐 智慧輪譯】
T08n0255    1  般若波羅蜜多心經【唐 法成譯】
T08n0256    1  唐梵翻對字音般若波羅蜜多心經(1卷並序)([燉煌出S.700])【】
T08n0257    1  佛說聖佛母般若波羅蜜多經【宋 施護譯】
T08n0258    1  佛說聖佛母小字般若波羅蜜多經【宋 天息災譯】
T08n0259    1  佛說觀想佛母般若波羅蜜多菩薩經【宋 天息災譯】
T08n0260    4  佛說開覺自性般若波羅蜜多經【宋 惟淨等譯】
T08n0261   10  大乘理趣六波羅蜜多經【唐 般若譯】
T09n0262    7  妙法蓮華經【姚秦 鳩摩羅什譯】
T09n0263   10  正法華經【西晉 竺法護譯】
T09n0264    7  添品妙法蓮華經【隋 闍那崛多共笈多譯】
T09n0265    1  薩曇分陀利經【失譯】
T09n0266    3  佛說阿惟越致遮經【西晉 竺法護譯】
T09n0267    4  不退轉法輪經【失譯】
T09n0268    6  佛說廣博嚴淨不退轉輪經【宋 智嚴譯】
T09n0269    1  佛說法華三昧經【宋 智嚴譯】
T09n0270    2  大法鼓經【劉宋 求那跋陀羅譯】
T09n0271    3  佛說菩薩行方便境界神通變化經【劉宋 求那跋陀羅譯】
T09n0272   10  大薩遮尼乾子所說經【元魏 菩提留支譯】
T09n0273    1  金剛三昧經【失譯】
T09n0274    1  佛說濟諸方等學經【西晉 竺法護譯】
T09n0275    1  大乘方廣總持經【隋 毘尼多流支譯】
T09n0276    1  無量義經【蕭齊 曇摩伽陀耶舍譯】
T09n0277    1  佛說觀普賢菩薩行法經【劉宋 曇無蜜多譯】
T09n0278   60  大方廣佛華嚴經【東晉 佛馱跋陀羅譯】
T10n0279   80  大方廣佛華嚴經【唐 實叉難陀譯】
T10n0280    1  佛說兜沙經【後漢 支婁迦讖譯】
T10n0281    1  佛說菩薩本業經【吳 支謙譯】
T10n0282    1  諸菩薩求佛本業經【西晉 聶道真譯】
T10n0283    1  菩薩十住行道品【西晉 竺法護譯】
T10n0284    1  佛說菩薩十住經【東晉 祇多蜜譯】
T10n0285    5  漸備一切智德經【西晉 竺法護譯】
T10n0286    4  十住經【姚秦 鳩摩羅什譯】
T10n0287    9  佛說十地經【唐 尸羅達摩譯】
T10n0288    3  等目菩薩所問三昧經【西晉 竺法護譯】
T10n0289    1  顯無邊佛土功德經【唐 玄奘譯】
T10n0290    1  佛說較量一切佛剎功德經【宋 法賢譯】
T10n0291    4  佛說如來興顯經【西晉 竺法護譯】
T10n0292    6  度世品經【西晉 竺法護譯】
T10n0293   40  大方廣佛華嚴經【唐 般若譯】
T10n0294    3  佛說羅摩伽經【西秦 聖堅譯】
T10n0295    1  大方廣佛華嚴經入法界品【唐 地婆訶羅譯】
T10n0296    1  文殊師利發願經【東晉 佛陀跋陀羅譯】
T10n0297    1  普賢菩薩行願讚【唐 不空譯】
T10n0298    1  大方廣普賢所說經【唐 實叉難陀譯】
T10n0299    5  大方廣總持寶光明經【宋 法天譯】
T10n0300    1  大方廣佛華嚴經不思議佛境界分【唐 提雲般若譯】
T10n0301    1  大方廣如來不思議境界經【唐 實叉難陀譯】
T10n0302    1  度諸佛境界智光嚴經【失譯】
T10n0303    2  佛華嚴入如來德智不思議境界經【隋 闍那崛多譯】
T10n0304    1  大方廣入如來智德不思議經【唐 實叉難陀譯】
T10n0305    5  信力入印法門經【元魏 曇摩流支譯】
T10n0306    1  大方廣佛花嚴經修慈分【唐 提雲般若等譯】
T10n0307    1  佛說莊嚴菩提心經【姚秦 鳩摩羅什譯】
T10n0308    1  佛說大方廣菩薩十地經【元魏 吉迦夜譯】
T10n0309   10  最勝問菩薩十住除垢斷結經【姚秦 竺佛念譯】
T11n0310  120  大寶積經【唐 菩提流志譯】
T11n0311    3  大方廣三戒經【北涼 曇無讖譯】
T11n0312   20  佛說如來不思議祕密大乘經【宋 法護譯】
T11n0313    2  阿閦佛國經【後漢 支婁迦讖譯】
T11n0314    1  佛說大乘十法經【梁 僧伽婆羅譯】
T11n0315a   1  佛說普門品經【西晉 竺法護譯】
T11n0315b   1  佛說普門品經【西晉 竺法護譯】
T11n0316   40  佛說大乘菩薩藏正法經【宋 法護等譯】
T11n0317    1  佛說胞胎經【西晉 竺法護譯】
T11n0318    2  文殊師利佛土嚴淨經【西晉 竺法護譯】
T11n0319    3  大聖文殊師利菩薩佛剎功德莊嚴經【唐 不空譯】
T11n0320   20  父子合集經【宋 日稱等譯】
T12n0321    4  佛說護國尊者所問大乘經【宋 施護譯】
T12n0322    1  法鏡經【後漢 安玄譯】
T12n0323    1  郁迦羅越問菩薩行經【西晉 竺法護譯】
T12n0324    1  佛說幻士仁賢經【西晉 竺法護譯】
T12n0325    1  佛說決定毘尼經【西晉 燉煌三藏譯】
T12n0326    1  佛說三十五佛名禮懺文【唐 不空譯】
T12n0327    2  發覺淨心經【隋 闍那崛多譯】
T12n0328    1  佛說須賴經【曹魏 白延譯】
T12n0329    1  佛說須賴經【前涼 支施崙譯】
T12n0330    1  佛說菩薩修行經【西晉 白法祖譯】
T12n0331    3  佛說無畏授所問大乘經【宋 施護等譯】
T12n0332    1  佛說優填王經【西晉 法炬譯】
T12n0333    1  佛說大乘日子王所問經【宋 法天譯】
T12n0334    1  佛說須摩提菩薩經【西晉 竺法護譯】
T12n0335    1  佛說須摩提菩薩經【姚秦 鳩摩羅什譯】
T12n0336    1  須摩提經【唐 菩提流志譯】
T12n0337    1  佛說阿闍貰王女阿術達菩薩經【西晉 竺法護譯】
T12n0338    1  佛說離垢施女經【西晉 竺法護譯】
T12n0339    1  得無垢女經【元魏 瞿曇般若流支譯】
T12n0340    2  文殊師利所說不思議佛境界經【唐 菩提流志譯】
T12n0341    3  聖善住意天子所問經【元魏 毘目智仙共般若流支譯】
T12n0342    2  佛說如幻三昧經(2卷或4卷)【西晉 竺法護譯】
T12n0343    1  佛說太子刷護經【西晉 竺法護譯】
T12n0344    1  佛說太子和休經【失譯】
T12n0345    2  慧上菩薩問大善權經【西晉 竺法護譯】
T12n0346    4  佛說大方廣善巧方便經【宋 施護譯】
T12n0347    2  大乘顯識經【唐 地婆訶羅譯】
T12n0348    1  佛說大乘方等要慧經【後漢 安世高譯】
T12n0349    1  彌勒菩薩所問本願經【西晉 竺法護譯】
T12n0350    1  佛說遺日摩尼寶經【後漢 支婁迦讖譯】
T12n0351    1  佛說摩訶衍寶嚴經【失譯】
T12n0352    5  佛說大迦葉問大寶積正法經【宋 施護譯】
T12n0353    1  勝鬘師子吼一乘大方便方廣經【劉宋 求那跋陀羅譯】
T12n0354    2  毘耶娑問經【元魏 瞿曇般若流支譯】
T12n0355    1  入法界體性經【隋 闍那崛多譯】
T12n0356    1  佛說寶積三昧文殊師利菩薩問法身經【後漢 安世高譯】
T12n0357    2  如來莊嚴智慧光明入一切佛境界經【元魏 曇摩流支譯】
T12n0358    1  度一切諸佛境界智嚴經【梁 僧伽婆羅等譯】
T12n0359    5  佛說大乘入諸佛境界智光明莊嚴經【宋 法護等譯】
T12n0360    2  佛說無量壽經【曹魏 康僧鎧譯】
T12n0361    4  佛說無量清淨平等覺經【後漢 支婁迦讖譯】
T12n0362    2  佛說阿彌陀三耶三佛薩樓佛檀過度人道經【吳 支謙譯】
T12n0363    3  佛說大乘無量壽莊嚴經【宋 法賢譯】
T12n0364    2  佛說大阿彌陀經【宋 王日休校輯】
T12n0365    1  佛說觀無量壽佛經【宋 畺良耶舍譯】
T12n0366    1  佛說阿彌陀經【姚秦 鳩摩羅什譯】
T12n0367    1  稱讚淨土佛攝受經【唐 玄奘譯】
T12n0368    1  拔一切業障根本得生淨土神呪(附阿彌陀經不思議神力傳)【劉宋 求那跋陀羅重譯】
T12n0369    1  阿彌陀佛說呪【】
T12n0370    1  阿彌陀鼓音聲王陀羅尼經【失譯】
T12n0371    1  觀世音菩薩授記經【宋 曇無竭譯】
T12n0372    3  佛說如幻三摩地無量印法門經【宋 施護等譯】
T12n0373    1  後出阿彌陀佛偈【失譯】
T12n0374   40  大般涅槃經【北涼 曇無讖譯】
T12n0375   36  大般涅槃經【宋 慧嚴等依泥洹經加之】
T12n0376    6  佛說大般泥洹經【東晉 法顯譯】
T12n0377    2  大般涅槃經後分【唐 若那跋陀羅譯】
T12n0378    2  佛說方等般泥洹經【西晉 竺法護譯】
T12n0379    3  四童子三昧經【隋 闍那崛多譯】
T12n0380    5  大悲經【高齊 那連提耶舍譯】
T12n0381    3  等集眾德三昧經【西晉 竺法護譯】
T12n0382    3  集一切福德三昧經【姚秦 鳩摩羅什譯】
T12n0383    2  摩訶摩耶經【蕭齊 曇景譯】
T12n0384    7  菩薩從兜術天降神母胎說廣普經【姚秦 竺佛念譯】
T12n0385    2  中陰經【姚秦 竺佛念譯】
T12n0386    2  蓮華面經【隋 那連提耶舍譯】
T12n0387    6  大方等無想經【北涼 曇無讖譯】
T12n0388    1  大雲無想經卷第九【姚秦 竺佛念譯】
T12n0389    1  佛垂般涅槃略說教誡經【姚秦 鳩摩羅什譯】
T12n0390    1  佛臨涅槃記法住經【唐 玄奘譯】
T12n0391    1  般泥洹後灌臘經【西晉 竺法護譯】
T12n0392    1  佛滅度後棺斂葬送經【失譯】
T12n0393    1  迦葉赴佛般涅槃經【東晉 竺曇無蘭譯】
T12n0394    1  佛入涅槃密迹金剛力士哀戀經【失譯】
T12n0395    1  佛說當來變經【西晉 竺法護譯】
T12n0396    1  佛說法滅盡經【失譯】
T13n0397   60  大方等大集經【北涼 曇無讖譯】
T13n0398    8  大哀經【西晉 竺法護譯】
T13n0399    4  寶女所問經【西晉 竺法護譯】
T13n0400   18  佛說海意菩薩所問淨印法門經【宋 惟淨等譯】
T13n0401    2  佛說無言童子經【西晉 竺法護譯】
T13n0402   10  寶星陀羅尼經【唐 波羅頗蜜多羅譯】
T13n0403    7  阿差末菩薩經【西晉 竺法護譯】
T13n0404    8  大集大虛空藏菩薩所問經【唐 不空譯】
T13n0405    1  虛空藏菩薩經【姚秦 佛陀耶舍譯】
T13n0406    1  虛空藏菩薩神呪經【失譯】
T13n0407    1  虛空藏菩薩神呪經【宋 曇摩蜜多譯】
T13n0408    2  虛空孕菩薩經【隋 闍那崛多譯】
T13n0409    1  觀虛空藏菩薩經【劉宋 曇摩蜜多譯】
T13n0410    8  大方廣十輪經【失譯】
T13n0411   10  大乘大集地藏十輪經【唐 玄奘譯】
T13n0412    2  地藏菩薩本願經【唐 實叉難陀譯】
T13n0413    1  百千頌大集經地藏菩薩請問法身讚【唐 不空譯】
T13n0414    5  菩薩念佛三昧經【劉宋 功德直譯】
T13n0415   10  大方等大集經菩薩念佛三昧分【隋 達磨笈多譯】
T13n0416    5  大方等大集經賢護分【隋 闍那崛多譯】
T13n0417    1  般舟三昧經【後漢 支婁迦讖譯】
T13n0418    3  般舟三昧經【後漢 支婁迦讖譯】
T13n0419    1  拔陂菩薩經【失譯】
T13n0420    2  自在王菩薩經【姚秦 鳩摩羅什譯】
T13n0421    2  奮迅王問經【元魏 瞿曇般若流支譯】
T13n0422    2  大集譬喻王經【隋 闍那崛多譯】
T13n0423    4  僧伽吒經【元魏 月婆首那譯】
T13n0424    5  大集會正法經【宋 施護譯】
T14n0425    8  賢劫經【西晉 竺法護譯】
T14n0426    1  佛說千佛因緣經【後秦 鳩摩羅什譯】
T14n0427    1  佛說八吉祥神呪經【吳 支謙譯】
T14n0428    1  佛說八陽神呪經【西晉 竺法護譯】
T14n0429    1  佛說八部佛名經【元魏 瞿曇般若流支譯】
T14n0430    1  八吉祥經【梁 僧伽婆羅譯】
T14n0431    1  八佛名號經【隋 闍那崛多譯】
T14n0432    1  佛說十吉祥經【失譯】
T14n0433    1  佛說寶網經【西晉 竺法護譯】
T14n0434    3  佛說稱揚諸佛功德經【元魏 吉迦夜譯】
T14n0435    1  佛說滅十方冥經【西晉 竺法護譯】
T14n0436    1  受持七佛名號所生功德經【唐 玄奘譯】
T14n0437    1  大乘寶月童子問法經【宋 施護譯】
T14n0438    2  佛說大乘大方廣佛冠經【宋 法護等譯】
T14n0439    1  佛說諸佛經【宋 施護譯】
T14n0440   12  佛說佛名經【元魏 菩提流支譯】
T14n0441   30  佛說佛名經【】
T14n0442    1  十方千五百佛名經【失譯】
T14n0443    8  五千五百佛名神呪除障滅罪經【隋 闍那崛多譯】
T14n0444    1  佛說百佛名經【隋 那連提耶舍譯】
T14n0445    2  佛說不思議功德諸佛所護念經【失譯】
T14n0446a   1  過去莊嚴劫千佛名經【闕譯】
